product_id,platform_id,price,currency,available,updated_at
1,1,68.00,INR,true,2026-09-01T10:00:00Z
1,2,65.00,INR,true,2026-09-01T10:00:00Z
1,3,70.00,INR,true,2026-09-01T10:00:00Z
1,4,67.00,INR,true,2026-09-01T10:00:00Z
2,1,265.00,INR,true,2026-09-01T10:00:00Z
2,2,259.00,INR,true,2026-09-01T10:00:00Z
2,3,272.00,INR,true,2026-09-01T10:00:00Z
2,4,262.00,INR,true,2026-09-01T10:00:00Z
3,1,28.00,INR,true,2026-09-01T10:00:00Z
3,2,27.00,INR,true,2026-09-01T10:00:00Z
3,3,29.00,INR,true,2026-09-01T10:00:00Z
3,4,28.00,INR,true,2026-09-01T10:00:00Z
4,1,145.00,INR,true,2026-09-01T10:00:00Z
4,2,142.00,INR,true,2026-09-01T10:00:00Z
4,3,148.00,INR,true,2026-09-01T10:00:00Z
4,4,,INR,false,2026-09-01T10:00:00Z
5,1,14.00,INR,true,2026-09-01T10:00:00Z
5,2,14.00,INR,true,2026-09-01T10:00:00Z
5,3,15.00,INR,true,2026-09-01T10:00:00Z
5,4,14.00,INR,true,2026-09-01T10:00:00Z
6,1,25.00,INR,true,2026-09-01T10:00:00Z
6,2,24.00,INR,true,2026-09-01T10:00:00Z
6,3,24.00,INR,true,2026-09-01T10:00:00Z
6,4,26.00,INR,true,2026-09-01T10:00:00Z
