product_id,platform_id,price,currency,available,updated_at
1,1,68.0,INR,True,2026-09-01T10:00:00Z
1,2,65.0,INR,True,2026-09-01T10:00:00Z
1,3,70.0,INR,True,2026-09-01T10:00:00Z
1,4,67.0,INR,True,2026-09-01T10:00:00Z
2,1,265.0,INR,True,2026-09-01T10:00:00Z
2,2,259.0,INR,True,2026-09-01T10:00:00Z
2,3,272.0,INR,True,2026-09-01T10:00:00Z
2,4,262.0,INR,True,2026-09-01T10:00:00Z
3,1,28.0,INR,True,2026-09-01T10:00:00Z
3,2,27.0,INR,True,2026-09-01T10:00:00Z
3,3,29.0,INR,True,2026-09-01T10:00:00Z
3,4,28.0,INR,True,2026-09-01T10:00:00Z
4,1,145.0,INR,True,2026-09-01T10:00:00Z
4,2,142.0,INR,True,2026-09-01T10:00:00Z
4,3,148.0,INR,True,2026-09-01T10:00:00Z
4,4,,INR,False,2026-09-01T10:00:00Z
5,1,14.0,INR,True,2026-09-01T10:00:00Z
5,2,14.0,INR,True,2026-09-01T10:00:00Z
5,3,15.0,INR,True,2026-09-01T10:00:00Z
5,4,14.0,INR,True,2026-09-01T10:00:00Z
6,1,25.0,INR,True,2026-09-01T10:00:00Z
6,2,24.0,INR,True,2026-09-01T10:00:00Z
6,3,24.0,INR,True,2026-09-01T10:00:00Z
6,4,26.0,INR,True,2026-09-01T10:00:00Z
